match_id,p1_bot,p2_bot,winner,reason,total_turns,p1_invalid_count,p2_invalid_count,p1_avg_time_ms,p2_avg_time_ms,seed,log_file
match_000001,new,mahi3,P1,goal,83,0,0,0.947,13.722,510734501,logs/matches/match_000001.jsonl
match_000002,mahi3,new,P2,goal,26,0,0,26.118,1.585,126800720,logs/matches/match_000002.jsonl
match_000003,new,mahi3,P1,goal,83,0,0,0.932,13.634,996961927,logs/matches/match_000003.jsonl
match_000004,mahi3,new,P2,goal,26,0,0,25.804,1.573,765322842,logs/matches/match_000004.jsonl
match_000005,new,mahi3,P1,goal,83,0,0,0.928,13.588,698137650,logs/matches/match_000005.jsonl
match_000006,mahi3,new,P2,goal,26,0,0,25.757,1.586,733673621,logs/matches/match_000006.jsonl
match_000007,new,mahi3,P1,goal,83,0,0,0.938,13.574,52384861,logs/matches/match_000007.jsonl
match_000008,mahi3,new,P2,goal,26,0,0,26.184,1.595,251150853,logs/matches/match_000008.jsonl
match_000009,new,mahi3,P1,goal,83,0,0,0.934,13.587,30753889,logs/matches/match_000009.jsonl
match_000010,mahi3,new,P2,goal,26,0,0,25.842,1.576,319342371,logs/matches/match_000010.jsonl
